Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
MSI Radeon RX 6500 XT MECH 2X 4GB OC,Msi,AMD,Đã qua sử dụng,1990000,Người bán bảo hành,3,RDNA 2.0,4096x2160,2420,2825.0,2248,4.0,GDDR6,64,143.9,1024,172.0,112.0,42.0,PCIe 4.0 x4,107,4.6,12 Ultimate
VGA SAPPHIRE PULSE RX 6600 XT OC 8GB,Sapphire,AMD,Đã qua sử dụng,3790000,Người bán bảo hành,3,RDNA 2.0,7680x4320,2000,2593.0,2000,8.0,GDDR6,128,256.0,2048,240.0,120.0,45.0,PCIe 4.0 x8,160,4.6,12 Ultimate
Leadtek WinFast GTX 1650,Leaktek,NVIDIA,Đã qua sử dụng,2000000,Bảo hành hãng,11,Turing,7680x4320,1410,1590.0,1500,4.0,GDDR6,128,192.0,896,149.0,111.0,35.0,PCIe 3.0 x16,75,4.6,12
NVIDIA NVS 310,Leaktek,NVIDIA,Đã qua sử dụng,250000,Người bán bảo hành,3,Fermi 2.0,2560x1600,523,1971.398148148148,875,0.5,GDDR3,64,14.0,48,156.0,69.0,43.78857142857143,PCIe 2.0 x16,20,4.6,12
NVIDIA NVS 310,Leaktek,NVIDIA,Đã qua sử dụng,400000,Bảo hành hãng,12,Fermi 2.0,2560x1600,523,1971.398148148148,875,0.5,GDDR3,64,14.0,48,156.0,69.0,43.78857142857143,PCIe 2.0 x16,20,4.6,12
NVIDIA NVS 310,Leaktek,NVIDIA,Đã qua sử dụng,150000,Không có bảo hành,0,Fermi 2.0,2560x1600,523,1971.398148148148,875,0.5,GDDR3,64,14.0,48,156.0,69.0,43.78857142857143,PCIe 2.0 x16,20,4.6,12
NVIDIA Quadro M4000,Leaktek,NVIDIA,Đã qua sử dụng,3300000,Người bán bảo hành,1,Maxwell 2.0,4096x2160,773,1971.398148148148,1502,8.0,GDDR5,256,192.3,1664,241.0,111.0,38.0,PCIe 3.0 x16,120,4.6,12
NVIDIA GeForce GTX 960,Nvidia,NVIDIA,Đã qua sử dụng,1100000,Không có bảo hành,0,Maxwell 2.0,4096x2160,1127,1178.0,1753,2.0,GDDR5,128,112.2,1064,241.0,111.0,38.0,PCIe 3.0 x16,120,4.6,12
MSI RTX 3060 GAMING X,Msi,NVIDIA,Đã qua sử dụng,5800000,Bảo hành hãng,9,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,276.0,131.0,51.0,PCIe 4.0 x16,170,4.6,12
NVIDIA Tesla K80,Nvidia,NVIDIA,Đã qua sử dụng,3000000,Người bán bảo hành,1,Kepler 2.0,7680x4320,562,824.0,1253,24.0,GDDR5,768,481.2,4992,267.0,111.0,38.0,PCIe 3.0 x16,300,4.6,12
NVIDIA Quadro 2000,Nvidia,NVIDIA,Đã qua sử dụng,850000,Người bán bảo hành,1,Fermi,2560x1600,625,1971.398148148148,650,1.0,GDDR5,128,41.6,192,178.0,111.0,43.78857142857143,PCIe 2.0 x16,62,4.6,12
NVIDIA Quadro P400,Leaktek,NVIDIA,Đã qua sử dụng,850000,Người bán bảo hành,1,Pascal,5120x2880,1228,1252.0,1002,2.0,GDDR5,64,32.06,256,150.0,69.0,43.78857142857143,PCIe 3.0 x16,30,4.6,12
ASUS GTX 650,Asus,NVIDIA,Đã qua sử dụng,550000,Không có bảo hành,0,Kepler,2560x1600,1072,1971.398148148148,1250,1.0,GDDR5,128,80.0,384,198.0,111.0,43.78857142857143,PCIe 3.0 x16,65,4.6,12
NVIDIA Quadro K2200,Nvidia,NVIDIA,Đã qua sử dụng,1450000,Người bán bảo hành,3,Maxwell,3840x2160,1046,1124.0,1253,4.0,GDDR5,128,80.19,640,202.0,111.0,43.78857142857143,PCIe 2.0 x16,68,4.6,12
NVIDIA Quadro K2000,Nvidia,NVIDIA,Đã qua sử dụng,1000000,Không có bảo hành,0,Kepler,2048x1536,954,1971.398148148148,1000,2.0,GDDR5,128,64.0,384,202.0,111.0,43.78857142857143,PCIe 2.0 x16,51,4.6,12
MSI RTX 3080 VENTUS 3X OC,Msi,NVIDIA,Đã qua sử dụng,9690000,Bảo hành hãng,16,Ampere,7680x4320,1440,1740.0,1188,10.0,GDDR6X,320,760.3,8704,305.0,120.0,57.0,PCIe 4.0 x16,320,4.6,12 Ultimate
ASUS ROG STRIX RTX 3080 GAMING,Asus,NVIDIA,Đã qua sử dụng,10900000,Bảo hành hãng,17,Ampere,7680x4320,1440,1740.0,1198,10.0,GDDR6X,320,760.3,8704,319.0,140.0,58.0,PCIe 4.0 x16,320,4.6,12 Ultimate
ASUS ROG STRIX RTX 3060 GAMING OC,Asus,NVIDIA,Đã qua sử dụng,6500000,Bảo hành hãng,10,Ampere,7680x4320,1320,1882.0,1875,12.0,GDDR6,192,360.0,3584,300.0,134.0,54.0,PCIe 4.0 x16,170,4.6,12 Ultimate
GIGABYTE RTX 4070 Ti AERO OC,Gigabyte,NVIDIA,Đã qua sử dụng,21000000,Bảo hành hãng,35,Ada Lovelace,7680x4320,2310,2640.0,1313,12.0,GDDR6X,192,504.2,7680,336.0,140.0,58.0,PCIe 4.0 x16,285,4.6,12 Ultimate
GIGABYTE RTX 4090 GAMING OC,Gigabyte,NVIDIA,Đã qua sử dụng,42000000,Bảo hành hãng,34,Ada Lovelace,7680x4320,2235,2535.0,1313,24.0,GDDR6X,384,1008.0,16384,340.0,150.0,75.0,PCIe 4.0 x16,450,4.6,12 Ultimate
GIGABYTE GT 1030 OC,Gigabyte,NVIDIA,Đã qua sử dụng,950000,Người bán bảo hành,1,Pascal,4096x2160,1266,1518.0,1502,2.0,GDDR5,64,48.06,384,168.0,111.0,26.0,PCIe 3.0 x16,30,4.6,12
