Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
GIGABYTE AORUS 2060 SUPER,Gigabyte,NVIDIA,Mới,12849000,Bảo hành hãng,12,Turing,7680x4320,1470,1845.0,1750,8.0,GDDR6,256,448.0,2176,308.0,113.0,57.0,PCIe 3.0 x16,175,4.6,12 Ultimate
MSI RTX 3060 VENTUS 2X OC,Msi,NVIDIA,Mới,7799000,Bảo hành hãng,36,Ampere,7680x4320,1320,1807.0,1875,12.0,GDDR6,192,360.0,3584,235.0,124.0,42.0,PCIe 4.0 x16,170,4.6,12 Ultimate
MSI RTX 3060 VENTUS 2X OC,Msi,NVIDIA,Mới,7790000,Bảo hành hãng,36,Ampere,7680x4320,1320,1807.0,1875,12.0,GDDR6,192,360.0,3584,235.0,124.0,42.0,PCIe 4.0 x16,170,4.6,12 Ultimate
MSI GTX 1050 Ti 4GT OCV1 NVIDIA GeForce GTX 1050 Ti 4 GDDR5,Msi,NVIDIA,Mới,4659000,Bảo hành hãng,36,Pascal,2560x1600,1341,1455.0,1752,4.0,GDDR5,128,112.1,768,215.0,118.18504424778762,43.78857142857143,PCIe 3.0 x16,75,4.6,12
ASUS DUAL RTX 2060 EVO OC,Asus,NVIDIA,Mới,6190000,Bảo hành hãng,36,Turing,7680x4320,1365,1755.0,1750,6.0,GDDR6,192,336.0,1920,242.0,130.0,53.0,PCIe 3.0 x16,160,4.6,12 Ultimate
MSI RTX 3060 GAMING X,Msi,NVIDIA,Mới,8750000,Bảo hành hãng,36,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,276.0,131.0,51.0,PCIe 4.0 x16,170,4.6,12 Ultimate
MSI RTX 4060 Ti VENTUS 2X BLACK OC,Msi,NVIDIA,Mới,11299000,Bảo hành hãng,36,Ada Lovelace,7680x4320,2310,2565.0,2250,8.0,GDDR6,128,288.0,4352,199.0,120.0,42.0,PCIe 4.0 x8,160,4.6,12 Ultimate
ASUS DUAL RTX 4060 OC,Asus,NVIDIA,Mới,8690000,Bảo hành hãng,36,Ada Lovelace,7680x4320,1830,2505.0,2125,8.0,GDDR6,128,272.0,3072,227.0,123.0,50.0,PCIe 4.0 x8,115,4.6,12 Ultimate
MSI RTX 2060 VENTUS OC,Msi,NVIDIA,Mới,7599000,Bảo hành hãng,36,Turing,7680x4320,1470,1680.0,1750,12.0,GDDR6,192,336.0,2176,231.0,128.0,42.0,PCIe 3.0 x16,184,4.6,12 Ultimate
ASUS TUF RTX 4090 GAMING OG,Asus,NVIDIA,Mới,53999000,Bảo hành hãng,36,Ada Lovelace,7680x4320,2235,2565.0,1313,24.0,GDDR6X,384,1008.0,16384,348.0,160.0,73.0,PCIe 4.0 x16,450,4.6,12 Ultimate
MSI RTX 4070 VENTUS 2X OC,Msi,NVIDIA,Mới,15990000,Bảo hành hãng,36,Ada Lovelace,7680x4320,1500,1755.0,1750,8.0,GDDR6,256,448.0,5888,232.0,124.0,52.0,PCIe 4.0 x16,200,4.6,12 Ultimate
MSI RTX 3060 Ti VENTUS 2X OCV1 LHR,Msi,NVIDIA,Mới,8399000,Bảo hành hãng,36,Ampere,7680x4320,1410,1695.0,1750,8.0,GDDR6,256,448.0,4864,235.0,124.0,42.0,PCIe 4.0 x16,200,4.6,12 Ultimate
GIGABYTE RTX 3070 Ti GAMING OC,Gigabyte,NVIDIA,Mới,13890000,Bảo hành hãng,36,Ampere,7680x4320,1575,1830.0,1188,8.0,GDDR6X,256,608.3,6144,320.0,129.0,55.0,PCIe 4.0 x16,290,4.6,12 Ultimate
ASUS TUF RTX 4070 GAMING OC,Asus,NVIDIA,Mới,18990000,Bảo hành hãng,36,Ada Lovelace,7680x4320,1920,2550.0,1313,12.0,GDDR6X,192,504.2,5888,301.0,139.0,63.0,PCIe 4.0 x16,200,4.6,12 Ultimate
GIGABYTE RTX 3070 GAMING OC Rev. 2.0,Gigabyte,NVIDIA,Mới,19389000,Bảo hành hãng,36,Ampere,7680x4320,1500,1815.0,1750,8.0,GDDR6,256,448.0,5888,286.0,115.0,51.0,PCIe 4.0 x16,220,4.6,12 Ultimate
ASUS ROG STRIX RTX 3060 GAMING,Asus,NVIDIA,Mới,12500000,Bảo hành hãng,36,Ampere,7680x4320,1320,1837.0,1875,12.0,GDDR6,192,360.0,3584,200.0,123.0,38.0,PCIe 4.0 x16,170,4.6,12 Ultimate
GIGABYTE GTX 1650 WindForce OC GDDR6 Rev. 2.0,Gigabyte,NVIDIA,Mới,3989000,Bảo hành hãng,36,Turing,7680x4320,1410,1635.0,1500,4.0,GDDR6,128,192.0,896,172.0,122.0,40.0,PCIe 3.0 x16,90,4.6,12
